Label,AMP,AND,ATP,BGC,EST,FAD,FMN,GLC,HEM,NAD,PO4
IsoMIF,0.91,0.96,0.81,0.93,1,0.91,0.94,1,0.96,0.91,0.51
IsoMIF,0.93,0.99,0.82,1,0.99,0.96,0.81,1,1,0.76,0.53
IsoMIF,0.8,,0.76,1,1,0.92,0.8,,1,0.59,0.52
IsoMIF,0.89,,0.85,,,0.91,0.91,,0.97,0.89,0.51
IsoMIF,0.9,,0.8,,,0.85,0.83,,1,0.8,0.49
IsoMIF,0.89,,0.85,,,0.89,0.78,,1,0.86,0.51
IsoMIF,0.92,,0.75,,,0.66,,,0.99,0.81,0.49
IsoMIF,0.9,,0.77,,,0.77,,,0.98,0.73,0.49
IsoMIF,0.91,,0.72,,,0.9,,,1,0.89,0.53
IsoMIF,,,0.77,,,0.95,,,0.92,0.79,0.5
IsoMIF,,,0.9,,,,,,1,0.78,0.5
IsoMIF,,,0.92,,,,,,0.99,0.83,0.53
IsoMIF,,,0.85,,,,,,0.99,0.57,0.51
IsoMIF,,,0.82,,,,,,1,0.75,0.53
IsoMIF,,,,,,,,,1,0.9,0.53
IsoMIF,,,,,,,,,0.99,,0.53
IsoMIF,,,,,,,,,,,0.53
IsoMIF,,,,,,,,,,,0.53
IsoMIF,,,,,,,,,,,0.5
IsoMIF,,,,,,,,,,,0.51
Click,0.76,0.98,0.75,0.80,0.95,0.92,0.74,0.99,0.97,0.64,0.99
Click,0.74,0.88,0.71,0.85,0.92,0.85,0.76,0.98,0.93,0.63,0.99
Click,0.77,,0.86,0.82,0.94,0.87,0.75,,0.96,0.73,0.98
Click,0.76,,0.79,,,0.92,0.55,,0.94,0.69,0.99
Click,0.77,,0.77,,,0.85,0.71,,0.96,0.82,0.97
Click,0.77,,0.76,,,0.90,0.73,,0.96,0.77,0.91
Click,0.74,,0.78,,,0.92,,,0.97,0.66,0.99
Click,0.72,,0.84,,,0.83,,,0.89,0.45,0.99
Click,0.77,,0.82,,,0.61,,,0.92,0.76,1.00
Click,,,0.86,,,0.71,,,0.98,0.79,0.98
Click,,,0.78,,,,,,0.89,0.76,0.99
Click,,,0.68,,,,,,0.97,0.60,0.99
Click,,,0.86,,,,,,0.81,0.74,0.99
Click,,,0.79,,,,,,0.94,0.69,0.99
Click,,,,,,,,,0.93,0.86,1.00
Click,,,,,,,,,0.83,,0.98
Click,,,,,,,,,,,0.99
Click,,,,,,,,,,,1.00
Click,,,,,,,,,,,0.99
Click,,,,,,,,,,,0.99
